channel_index,channel_name,label,category,base_can_id_hex,base_can_id_dec,value_a_signal,value_a_unit,value_a_min,value_a_max,value_a_data_type,value_a_byte_offset,value_a_byte_length,value_a_endian,value_b_signal,value_b_unit,value_b_data_type,value_b_byte_offset,value_b_byte_length,value_b_endian,notes
14,closed_loop,Closed Loop Status,FUELING,0x1E039000,503549952,Closed Loop Active Flag,flag,0,1,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,1.0 = Closed Loop Active; 0.0 = Open Loop
15,iat,Intake Air Temp,TEMPERATURE,0x1E03D000,503566336,Intake Air Temperature,degF,-40,300,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Manifold air temperature sensor
16,fuel_pw,Fuel Pulse Width,FUELING,0x1E041000,503582720,Injector Pulse Width,ms,0,25,IEEE754_Float32,0,4,BigEndian,Duty Cycle,%,IEEE754_Float32,4,4,BigEndian,Primary injector pulse width
17,spark_advance,Spark Advance,IGNITION,0x1E045000,503599104,Base Spark Table Advance,deg,0,60,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Table spark timing before modifiers
18,idle_speed,Target Idle,ENGINE,0x1E049000,503615488,Target Idle Speed,rpm,0,3000,IEEE754_Float32,0,4,BigEndian,IAC Position,%,IEEE754_Float32,4,4,BigEndian,ECU commanded idle RPM target
19,fan_status,Fan Status,ELECTRICAL,0x1E04D000,503631872,Electric Fan 1 Status,flag,0,1,IEEE754_Float32,0,4,BigEndian,Electric Fan 2 Status,flag,IEEE754_Float32,4,4,BigEndian,1.0 = ON; 0.0 = OFF
20,trans_gear,Current Gear,TRANSMISSION,0x1E051000,503648256,Current Transmission Gear,gear,0,4,IEEE754_Float32,0,4,BigEndian,Commanded Gear,gear,IEEE754_Float32,4,4,BigEndian,0 = Neutral/Park; 1..4 = Gears (Terminator X Max)
21,trans_temp,Trans Temp,TRANSMISSION,0x1E055000,503664640,Transmission Fluid Temp,degF,-40,350,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,4L60E / 4L80E temperature sensor
22,tcc_status,TCC Status,TRANSMISSION,0x1E059000,503681024,Torque Converter Lockup Duty,%,0,100,IEEE754_Float32,0,4,BigEndian,Converter Slip,rpm,IEEE754_Float32,4,4,BigEndian,TCC solenoid PWM duty cycle
23,output_speed,Output Shaft Speed,TRANSMISSION,0x1E05D000,503697408,Transmission Output Speed,rpm,0,8000,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,VSS / Output speed sensor
24,input_speed,Input Shaft Speed,TRANSMISSION,0x1E061000,503713792,Transmission Input Speed,rpm,0,8000,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Turbine shaft speed sensor
25,line_pressure,Line Pressure,TRANSMISSION,0x1E065000,503730176,Trans Line Pressure Duty,%,0,100,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Electronic pressure control solenoid
30,oil_pressure,Oil Pressure,ENGINE,0x1E079000,503812096,Engine Oil Pressure,psi,0,100,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Optional transducer input
31,fuel_pressure,Fuel Pressure,FUELING,0x1E07D000,503828480,Fuel Rail Pressure,psi,0,100,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Optional transducer input
32,vehicle_speed,Vehicle Speed,ENGINE,0x1E081000,503844864,Vehicle Speed,mph,0,200,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Calibrated ground speed
